"Date","WPSID6121"
2009-11-01,100.2
2009-12-01,100.4
2010-01-01,100.5
2010-02-01,101.4
2010-03-01,101.9
2010-04-01,102.8
2010-05-01,103.6
2010-06-01,102.8
2010-07-01,102.5
2010-08-01,102.4
2010-09-01,102.3
2010-10-01,102.3
2010-11-01,102.7
2010-12-01,103.1
2011-01-01,103.5
2011-02-01,104
2011-03-01,104.5
2011-04-01,104.9
2011-05-01,105
2011-06-01,105.2
2011-07-01,105.8
2011-08-01,105.8
2011-09-01,105.8
2011-10-01,105.7
2011-11-01,105.7
2011-12-01,105.8
2012-01-01,106.5
2012-02-01,106.7
2012-03-01,107
2012-04-01,107.4
2012-05-01,107.9
2012-06-01,108
2012-07-01,107.9
2012-08-01,108.2
2012-09-01,108.6
2012-10-01,108.6
2012-11-01,108.9
2012-12-01,109.3
2013-01-01,109.9
2013-02-01,110.3
2013-03-01,110.7
2013-04-01,111.3
2013-05-01,111.1
2013-06-01,110.8
2013-07-01,110.7
2013-08-01,111.2
2013-09-01,111.4
2013-10-01,111.5
2013-11-01,111.4
2013-12-01,111.5
2014-01-01,112.3
2014-02-01,112.6
2014-03-01,113.1
2014-04-01,113.1
2014-05-01,113.5
2014-06-01,113.8
2014-07-01,114
2014-08-01,114.5
2014-09-01,114.8
2014-10-01,114.9
2014-11-01,114.9
2014-12-01,114.9
2015-01-01,114.9
2015-02-01,114.5
2015-03-01,114.2
2015-04-01,114.3
2015-05-01,114
2015-06-01,114
2015-07-01,114.1
2015-08-01,113.9
2015-09-01,113.7
2015-10-01,114
2015-11-01,114.1
2015-12-01,114
2016-01-01,114
2016-02-01,113.8
2016-03-01,114.2
2016-04-01,114.5
2016-05-01,114.6
2016-06-01,114.8
2016-07-01,115.1
2016-08-01,115.4
2016-09-01,115.2
2016-10-01,115.5
2016-11-01,115.5
2016-12-01,115.8
2017-01-01,116
2017-02-01,116.5
2017-03-01,117
2017-04-01,117.8
2017-05-01,117.9
2017-06-01,118.2
2017-07-01,118.5
2017-08-01,118.7
2017-09-01,119
2017-10-01,119.9
2017-11-01,120.1
2017-12-01,120.1
2018-01-01,120.7
2018-02-01,121.7
2018-03-01,122.9
2018-04-01,123.6
2018-05-01,125.1
2018-06-01,126.3
2018-07-01,126.3
2018-08-01,125.5
2018-09-01,125.9
2018-10-01,125.4
2018-11-01,124.8
2018-12-01,125.1
2019-01-01,124.2
2019-02-01,124.4
2019-03-01,124.1
2019-04-01,125.1
2019-05-01,125.1
2019-06-01,125
2019-07-01,125.2
2019-08-01,125.1
2019-09-01,125.4
2019-10-01,125.3
2019-11-01,125.6
2019-12-01,125.6
2020-01-01,125.5
2020-02-01,125.9
2020-03-01,126.6
2020-04-01,125.6
2020-05-01,125.7
2020-06-01,127
2020-07-01,128.8
2020-08-01,132.2
2020-09-01,137
2020-10-01,136
2020-11-01,134.2
2020-12-01,135.6
2021-01-01,139.2
2021-02-01,141.3
2021-03-01,144.1
2021-04-01,148.8
2021-05-01,156
2021-06-01,159.1
2021-07-01,154.866
2021-08-01,150.01
2021-09-01,148.913
2021-10-01,150.633
2021-11-01,152.939
2021-12-01,156.735
2022-01-01,163.878
2022-02-01,167.751
2022-03-01,171.4
2022-04-01,170.428
2022-05-01,170.738
2022-06-01,168.187
2022-07-01,168.173
2022-08-01,169.217
2022-09-01,168.379
2022-10-01,167.765
2022-11-01,167.529
2022-12-01,166.392
2023-01-01,165.52
2023-02-01,165.579
2023-03-01,165.726
2023-04-01,165.969
2023-05-01,166.193
2023-06-01,166.248
2023-07-01,167.275
2023-08-01,167.588
2023-09-01,168.553
2023-10-01,167.97
2023-11-01,168.129
