"Date","WPU112D03"
2003-12-01,100
2004-01-01,100.9
2004-02-01,101.2
2004-03-01,101.4
2004-04-01,101.6
2004-05-01,101.7
2004-06-01,102.4
2004-07-01,104.1
2004-08-01,104.2
2004-09-01,104.1
2004-10-01,104.1
2004-11-01,104.1
2004-12-01,103.7
2005-01-01,104.9
2005-02-01,104.5
2005-03-01,104.6
2005-04-01,104.6
2005-05-01,105.4
2005-06-01,107.8
2005-07-01,107.8
2005-08-01,107.8
2005-09-01,107.8
2005-10-01,108.3
2005-11-01,108.7
2005-12-01,109
2006-01-01,110.8
2006-02-01,111.1
2006-03-01,111.3
2006-04-01,111.3
2006-05-01,110.9
2006-06-01,111
2006-07-01,111
2006-08-01,111
2006-09-01,111.6
2006-10-01,112.1
2006-11-01,112.1
2006-12-01,111.8
2007-01-01,113.6
2007-02-01,113.6
2007-03-01,112.9
2007-04-01,112.8
2007-05-01,112.8
2007-06-01,112.8
2007-07-01,112.8
2007-08-01,112.8
2007-09-01,112
2007-10-01,113.3
2007-11-01,113.9
2007-12-01,114.2
2008-01-01,113.8
2008-02-01,114.6
2008-03-01,114.9
2008-04-01,115.1
2008-05-01,114.5
2008-06-01,115.2
2008-07-01,115.7
2008-08-01,116.3
2008-09-01,116.4
2008-10-01,116.4
2008-11-01,118.3
2008-12-01,118.4
2009-01-01,116.3
2009-02-01,117.5
2009-03-01,117.5
2009-04-01,119.3
2009-05-01,120.9
2009-06-01,121.8
2009-07-01,122.4
2009-08-01,121.3
2009-09-01,119.2
2009-10-01,117.1
2009-11-01,119.1
2009-12-01,123.6
2010-01-01,119.9
2010-02-01,120.8
2010-03-01,121.3
2010-04-01,119.2
2010-05-01,119.7
2010-06-01,120.1
2010-07-01,119.9
2010-08-01,120.3
2010-09-01,126.1
2010-10-01,121
2010-11-01,119.5
2010-12-01,123.3
2011-01-01,120.6
2011-02-01,120.1
2011-03-01,122.4
2011-04-01,122
2011-05-01,123.3
2011-06-01,125.8
2011-07-01,125.1
2011-08-01,128.4
2011-09-01,128.2
2011-10-01,130.3
2011-11-01,129.6
2011-12-01,127.1
2012-01-01,133.5
2012-02-01,139.4
2012-03-01,136.4
2012-04-01,137.1
2012-05-01,138.4
2012-06-01,135.7
2012-07-01,134.8
2012-08-01,140.2
2012-09-01,134.1
2012-10-01,138.8
2012-11-01,137.5
2012-12-01,141.1
2013-01-01,140.8
2013-02-01,140.8
2013-03-01,136.5
2013-04-01,138.2
2013-05-01,139
2013-06-01,141.5
2013-07-01,141.5
2013-08-01,141.5
2013-09-01,141.5
2013-10-01,141.4
2013-11-01,141.4
2013-12-01,141.5
2014-01-01,144
2014-02-01,144
2014-03-01,144
2014-04-01,144.4
2014-05-01,144.4
2014-06-01,144.4
2014-07-01,144.4
2014-08-01,144.4
2014-09-01,144.4
2014-10-01,144.4
2014-11-01,146.1
2014-12-01,146.1
2015-01-01,149.9
2015-02-01,149.9
2015-03-01,149.9
2015-04-01,149.9
2015-05-01,149.9
2015-06-01,149.9
2015-07-01,150.3
2015-08-01,150.3
2015-09-01,150.2
2015-10-01,150.2
2015-11-01,150.2
2015-12-01,150.3
2016-01-01,154.1
2016-02-01,154.6
2016-03-01,154.6
2016-04-01,154.6
2016-05-01,154.6
2016-06-01,154.6
2016-07-01,154.7
2016-08-01,154.7
2016-09-01,154.7
2016-10-01,154.7
2016-11-01,154.8
2016-12-01,154.8
2017-01-01,154.8
2017-02-01,154.8
2017-03-01,154.8
2017-04-01,154.8
2017-05-01,154.9
2017-06-01,154.9
2017-07-01,154.9
2017-08-01,154.9
2017-09-01,154.9
2017-10-01,154.9
2017-11-01,155.1
2017-12-01,155.1
2018-01-01,144.9
2018-02-01,145
2018-03-01,145
2018-04-01,145
2018-05-01,145
2018-06-01,145
2018-07-01,146.8
2018-08-01,157.2
2018-09-01,157.2
2018-10-01,157.2
2018-11-01,157.2
2018-12-01,157.2
2019-01-01,160.1
2019-02-01,160.1
2019-03-01,160.1
2019-04-01,160.1
2019-05-01,160.1
2019-06-01,160.1
2019-07-01,160.1
2019-08-01,160.1
2019-09-01,160.1
2019-10-01,160.1
2019-11-01,160.1
2019-12-01,160.1
2020-01-01,162.6
2020-02-01,162.6
2020-03-01,162.6
2020-04-01,162.6
2020-05-01,162.6
2020-06-01,162.6
2020-07-01,162.6
2020-08-01,162.6
2020-09-01,162.6
2020-10-01,162.6
2020-11-01,162.6
2020-12-01,162.6
2021-01-01,165.4
2021-02-01,165.4
2021-03-01,165.4
2021-04-01,165.7
2021-05-01,165.8
2021-06-01,168.7
2021-07-01,168.765
2021-08-01,169.417
2021-09-01,169.417
2021-10-01,176.664
2021-11-01,177.532
2021-12-01,177.532
2022-01-01,177.532
2022-02-01,177.532
2022-03-01,178.205
2022-04-01,186.214
2022-05-01,186.214
2022-06-01,186.214
2022-07-01,186.214
2022-08-01,196.714
2022-09-01,196.714
2022-10-01,196.714
2022-11-01,197.517
2022-12-01,197.517
2023-01-01,205.986
2023-02-01,205.986
2023-03-01,205.986
2023-04-01,205.986
2023-05-01,206.157
2023-06-01,206.157
2023-07-01,209.973
2023-08-01,209.973
2023-09-01,209.973
2023-10-01,209.973
2023-11-01,209.973
