"Date","WPUSI094011"
1967-01-01,45.3
1967-02-01,45.3
1967-03-01,45.5
1967-04-01,45.6
1967-05-01,46
1967-06-01,46.1
1967-07-01,46.2
1967-08-01,46.2
1967-09-01,46.2
1967-10-01,46.2
1967-11-01,46.2
1967-12-01,46.5
1968-01-01,46.7
1968-02-01,47.1
1968-03-01,47.2
1968-04-01,47.5
1968-05-01,47.5
1968-06-01,47.5
1968-07-01,47.6
1968-08-01,47.6
1968-09-01,47.8
1968-10-01,47.8
1968-11-01,47.8
1968-12-01,47.8
1969-01-01,48.2
1969-02-01,48.1
1969-03-01,48.1
1969-04-01,48.1
1969-05-01,48.3
1969-06-01,48.4
1969-07-01,48.7
1969-08-01,48.7
1969-09-01,48.7
1969-10-01,48.8
1969-11-01,48.8
1969-12-01,48.8
1970-01-01,48.9
1970-02-01,49
1970-03-01,49
1970-04-01,49.1
1970-05-01,49.1
1970-06-01,49.1
1970-07-01,49.2
1970-08-01,49.3
1970-09-01,49.3
1970-10-01,49.3
1970-11-01,49.3
1970-12-01,49.3
1971-01-01,49.5
1971-02-01,49.5
1971-03-01,49.5
1971-04-01,49.6
1971-05-01,49.6
1971-06-01,49.7
1971-07-01,49.8
1971-08-01,49.9
1971-09-01,49.8
1971-10-01,49.8
1971-11-01,49.8
1971-12-01,49.8
1972-01-01,50
1972-02-01,50.4
1972-03-01,50.4
1972-04-01,50.4
1972-05-01,50.5
1972-06-01,50.6
1972-07-01,50.6
1972-08-01,50.7
1972-09-01,50.7
1972-10-01,50.7
1972-11-01,50.7
1972-12-01,50.7
1973-01-01,51.2
1973-02-01,51.3
1973-03-01,51.4
1973-04-01,51.5
1973-05-01,52
1973-06-01,52.2
1973-07-01,52.2
1973-08-01,52.2
1973-09-01,52.5
1973-10-01,52.9
1973-11-01,53.4
1973-12-01,53.4
1974-01-01,57.1
1974-02-01,57.8
1974-03-01,58.1
1974-04-01,58.3
1974-05-01,59.8
1974-06-01,60.5
1974-07-01,60.9
1974-08-01,61.1
1974-09-01,61.9
1974-10-01,61.7
1974-11-01,61.9
1974-12-01,62.2
1975-01-01,62.9
1975-02-01,63
1975-03-01,62.5
1975-04-01,62.4
1975-05-01,61.6
1975-06-01,61.6
1975-07-01,61
1975-08-01,61
1975-09-01,61
1975-10-01,61
1975-11-01,61.2
1975-12-01,61.2
1976-01-01,62.8
1976-02-01,62.9
1976-03-01,62.9
1976-04-01,63.2
1976-05-01,64
1976-06-01,64
1976-07-01,64.3
1976-08-01,64.3
1976-09-01,64.4
1976-10-01,64.6
1976-11-01,64.4
1976-12-01,65
1977-01-01,67.2
1977-02-01,69.1
1977-03-01,69.2
1977-04-01,69.4
1977-05-01,69.1
1977-06-01,69.6
1977-07-01,69.6
1977-08-01,71.2
1977-09-01,71.2
1977-10-01,71.3
1977-11-01,71.3
1977-12-01,71.3
1978-01-01,71.6
1978-02-01,72.1
1978-03-01,72.2
1978-04-01,72.3
1978-05-01,72.3
1978-06-01,73
1978-07-01,73.4
1978-08-01,73.6
1978-09-01,73.6
1978-10-01,73.6
1978-11-01,73.7
1978-12-01,74.7
1979-01-01,75.6
1979-02-01,76.4
1979-03-01,76.8
1979-04-01,76.9
1979-05-01,77.1
1979-06-01,77.3
1979-07-01,77.4
1979-08-01,78.5
1979-09-01,78.5
1979-10-01,78.7
1979-11-01,78.9
1979-12-01,79.5
1980-01-01,80.6
1980-02-01,81.5
1980-03-01,83.7
1980-04-01,83.8
1980-05-01,84
1980-06-01,86
1980-07-01,86.6
1980-08-01,87
1980-09-01,87.1
1980-10-01,87.2
1980-11-01,87.5
1980-12-01,87.6
1981-01-01,91.5
1981-02-01,92.3
1981-03-01,92.8
1981-04-01,92.9
1981-05-01,93
1981-06-01,93.5
1981-07-01,94.1
1981-08-01,94.1
1981-09-01,94.1
1981-10-01,94.1
1981-11-01,94.5
1981-12-01,94.8
1982-01-01,98.3
1982-02-01,99.1
1982-03-01,99.2
1982-04-01,99.2
1982-05-01,99.2
1982-06-01,99.9
1982-07-01,100.5
1982-08-01,100.5
1982-09-01,100.9
